Time;Working Electrode NO2;Auxiliar Electrode NO2;Working Electrode O3;Auxiliar Electrode O3;Working electrode CO;Auxiliar electrode CO;Working Electrode SO2;Auxiliar Electrode SO2;Temperature;Humidity;Pressure
2019-02-21 11:00:00;286.46;287.22;408.76;392.92;335.32;291.01;268.14;286.33;15.40;68.46;1003.0
2019-02-21 12:00:00;286.40;287.58;409.25;393.26;334.60;292.16;265.56;285.73;16.44;62.94;1003.0
2019-02-21 13:00:00;284.27;287.02;407.44;392.49;325.98;290.73;266.90;286.98;16.79;59.77;1003.0
2019-02-21 14:00:00;283.51;287.30;406.27;392.57;329.20;291.76;266.67;286.46;18.23;54.21;1003.0
2019-02-21 15:00:00;283.26;286.32;406.06;391.39;327.21;291.36;269.75;287.97;19.33;53.95;1003.0
2019-02-21 16:00:00;284.14;286.39;407.10;391.64;327.35;289.05;269.52;287.74;19.05;56.72;1003.0
2019-02-21 17:00:00;284.72;286.42;407.80;391.90;323.94;287.19;272.13;288.26;17.22;60.09;1003.0
2019-02-21 18:00:00;284.86;286.39;407.84;392.17;320.83;286.70;275.41;288.46;15.52;63.35;1003.0
2019-02-21 19:00:00;286.00;286.95;409.42;393.07;321.42;286.17;270.02;287.53;13.75;69.38;1003.0
2019-02-21 20:00:00;286.60;287.16;408.41;393.68;324.00;287.00;269.92;287.56;12.44;73.77;1003.0
2019-02-21 21:00:00;286.68;287.70;407.62;394.26;329.78;287.63;270.38;286.77;11.57;77.52;1003.0
2019-02-21 22:00:00;287.24;287.63;406.19;394.26;334.97;287.90;271.17;287.02;10.49;81.22;1003.0
2019-02-21 23:00:00;288.31;288.07;407.89;394.75;340.81;288.78;270.15;286.47;10.17;82.38;1003.0
2019-02-22 00:00:00;288.31;288.00;406.69;394.65;339.15;289.65;270.31;286.81;9.69;83.14;1003.0
2019-02-22 01:00:00;286.55;287.94;404.17;394.67;339.02;289.31;271.98;286.87;9.13;84.61;1003.0
2019-02-22 02:00:00;286.29;288.03;403.72;394.67;332.66;289.57;272.38;286.94;8.44;86.55;1003.0
2019-02-22 03:00:00;286.12;288.50;403.76;394.80;331.06;290.28;272.58;286.78;8.10;87.99;1003.0
2019-02-22 04:00:00;286.04;288.74;403.93;394.92;336.54;291.10;271.93;286.67;8.11;88.69;1003.0
2019-02-22 05:00:00;286.84;288.78;404.03;394.81;336.09;290.22;271.98;286.97;7.58;89.57;1003.0
2019-02-22 06:00:00;287.73;288.84;405.40;394.81;342.84;290.95;270.94;287.10;7.47;89.70;1003.0
2019-02-22 07:00:00;290.01;289.08;407.73;394.74;350.47;290.90;269.55;287.28;6.79;90.14;1003.0
2019-02-22 08:00:00;292.26;290.14;410.04;395.94;352.77;290.88;269.07;284.33;7.85;87.89;1003.0
2019-02-22 09:00:00;291.29;290.51;409.24;397.16;384.12;296.72;266.96;280.03;15.07;70.77;1003.0
2019-02-22 10:00:00;284.30;287.73;404.48;393.47;341.37;294.80;269.00;284.80;17.72;64.73;1003.0
2019-02-22 11:00:00;284.21;287.28;406.02;392.57;327.28;292.09;268.40;285.93;18.25;61.04;1003.0
2019-02-22 12:00:00;283.22;286.95;405.73;392.10;326.97;291.39;267.70;286.77;19.08;57.24;1003.0
2019-02-22 13:00:00;283.37;286.33;407.71;391.47;323.07;288.77;268.67;287.87;18.77;57.54;1003.0
2019-02-22 14:00:00;284.90;286.72;409.93;392.09;326.11;287.38;269.84;287.08;18.22;62.15;1003.0
2019-02-22 15:00:00;285.10;287.03;409.56;392.74;326.71;287.18;269.71;286.79;17.85;65.59;1003.0
2019-02-22 16:00:00;285.08;287.29;410.23;393.11;327.18;287.83;268.70;286.74;17.43;66.87;1003.0
2019-02-22 17:00:00;285.37;287.27;411.22;393.22;326.12;287.50;268.45;286.84;16.94;69.94;1003.0
2019-02-22 18:00:00;285.47;287.18;411.50;393.35;323.87;287.26;268.18;287.20;15.63;74.18;1003.0
2019-02-22 19:00:00;286.25;287.75;411.95;394.10;324.58;287.34;268.41;286.40;14.18;79.35;1003.0
2019-02-22 20:00:00;286.58;288.03;411.97;394.55;327.46;288.84;267.74;286.01;13.96;80.87;1003.0
2019-02-22 21:00:00;286.16;288.17;410.88;394.72;327.13;289.39;267.95;285.96;13.74;82.93;1003.0
2019-02-22 22:00:00;286.02;288.25;409.73;394.79;327.26;289.97;268.17;285.89;13.56;84.32;1003.0
2019-02-22 23:00:00;285.89;288.30;408.70;394.74;326.75;290.22;268.21;286.18;13.30;85.37;1003.0
2019-02-23 00:00:00;286.25;288.54;408.97;394.94;326.92;290.74;268.33;285.86;13.14;86.59;1003.0
2019-02-23 01:00:00;286.43;288.62;408.35;394.91;326.83;291.08;268.78;286.13;13.06;88.60;1003.0
2019-02-23 02:00:00;286.75;288.85;406.44;394.74;326.31;291.16;269.95;287.07;12.25;91.12;1003.0
2019-02-23 03:00:00;288.73;290.52;407.19;394.98;333.59;292.28;271.84;287.47;11.23;93.75;1003.0
2019-02-23 04:00:00;290.02;292.17;408.76;395.33;335.12;294.16;272.27;287.52;11.26;93.96;1002.0
2019-02-23 05:00:00;288.56;291.00;405.87;394.96;330.25;293.31;272.16;287.83;11.02;93.60;1002.0
2019-02-23 06:00:00;287.83;290.47;404.47;394.81;328.47;293.13;272.68;287.93;10.22;92.94;1002.0
2019-02-23 07:00:00;288.64;289.07;405.17;394.41;328.07;291.57;273.32;288.65;8.85;91.19;1003.0
2019-02-23 08:00:00;290.39;290.10;406.65;395.96;347.53;291.63;273.80;284.51;9.65;86.86;1003.0
2019-02-23 09:00:00;286.76;290.79;401.50;397.19;396.46;297.04;270.70;278.48;17.61;64.37;1003.0
2019-02-23 10:00:00;279.08;287.38;395.80;391.91;346.67;302.81;265.35;284.19;23.41;42.34;1003.0
2019-02-23 11:00:00;285.17;284.95;407.57;388.78;332.57;289.71;268.57;289.80;22.96;47.02;1003.0
2019-02-23 12:00:00;286.46;285.68;410.13;390.00;344.70;286.44;268.69;288.75;22.28;50.10;1002.0
2019-02-23 13:00:00;285.70;285.63;408.89;390.30;338.80;286.20;271.18;289.04;22.05;51.63;1002.0
2019-02-23 14:00:00;283.41;286.08;405.03;391.16;332.39;286.39;271.03;288.63;21.57;50.68;1002.0
2019-02-23 15:00:00;281.89;285.97;403.18;391.04;325.71;287.25;270.70;289.50;21.04;48.23;1002.0
2019-02-23 16:00:00;282.08;286.01;403.32;391.21;325.07;287.41;270.71;289.45;20.68;47.24;1002.0
2019-02-23 17:00:00;282.53;285.49;405.96;390.68;326.11;288.44;272.06;290.56;20.17;49.41;1002.0
2019-02-23 18:00:00;287.90;286.25;414.41;392.05;331.53;283.68;272.51;288.24;17.31;66.87;1002.0
2019-02-23 19:00:00;291.68;287.58;416.23;394.14;338.35;284.65;269.55;286.39;15.18;80.52;1002.0
2019-02-23 20:00:00;290.61;288.47;410.05;395.33;338.01;287.31;269.57;285.96;14.37;79.85;1002.0
2019-02-23 21:00:00;285.95;287.79;402.10;394.41;340.66;290.38;270.34;288.01;13.51;63.63;1002.0
2019-02-23 22:00:00;288.12;287.65;407.92;393.74;354.60;290.35;269.63;287.24;13.99;63.27;1002.0
2019-02-23 23:00:00;290.25;287.97;412.51;394.31;351.12;288.32;271.32;285.49;14.13;79.36;1002.0
2019-02-24 00:00:00;290.48;288.33;411.22;394.97;346.43;288.80;270.66;285.63;13.86;83.82;1002.0
2019-02-24 01:00:00;287.25;288.30;404.86;395.09;344.00;290.04;271.32;286.43;13.28;79.24;1003.0
2019-02-24 02:00:00;284.43;287.68;400.93;394.18;334.41;290.78;270.16;287.77;11.93;67.36;1003.0
2019-02-24 03:00:00;285.04;287.41;403.45;393.56;329.93;291.96;268.39;287.74;12.44;59.67;1003.0
2019-02-24 04:00:00;288.44;287.13;408.36;393.11;331.60;291.36;266.74;287.95;12.59;59.42;1003.0
2019-02-24 05:00:00;290.50;287.42;411.47;393.29;335.25;291.13;266.26;287.58;12.56;59.96;1003.0
2019-02-24 06:00:00;289.05;287.62;412.52;393.84;347.87;289.54;271.56;285.85;13.75;74.39;1003.0
2019-02-24 07:00:00;287.03;287.97;409.83;394.77;340.30;289.55;270.72;285.38;14.46;80.02;1003.0
2019-02-24 08:00:00;287.32;288.45;409.90;395.22;336.55;290.72;269.39;285.06;14.78;80.05;1003.0
2019-02-24 09:00:00;286.86;288.98;408.68;395.60;341.76;292.03;268.50;284.10;15.91;75.67;1003.0
2019-02-24 10:00:00;283.61;288.01;404.92;394.27;338.59;293.24;268.22;285.81;17.44;68.46;1003.0
2019-02-24 11:00:00;283.47;287.64;405.53;393.53;334.59;292.35;268.18;286.42;18.28;63.94;1003.0
2019-02-24 12:00:00;285.06;287.56;408.24;393.26;334.65;292.34;266.70;286.41;19.05;60.43;1003.0
2019-02-24 13:00:00;285.50;287.10;410.08;392.66;336.07;291.18;266.69;287.28;19.59;58.89;1003.0
2019-02-24 14:00:00;284.69;286.73;408.74;392.31;333.08;289.48;268.10;287.94;19.20;59.00;1003.0
2019-02-24 15:00:00;285.12;286.97;410.43;392.63;333.61;289.51;267.67;287.74;18.95;59.79;1003.0
2019-02-24 16:00:00;284.28;286.97;407.65;392.66;333.57;289.87;268.59;288.02;18.95;57.70;1003.0
2019-02-24 17:00:00;285.19;286.60;410.00;392.42;330.26;289.00;270.54;288.15;18.27;62.83;1003.0
2019-02-24 18:00:00;285.63;286.87;409.98;392.96;328.53;287.80;269.70;288.19;16.59;69.08;1003.0
2019-02-24 19:00:00;285.88;287.40;410.26;393.85;329.28;288.04;269.61;287.30;15.03;74.18;1003.0
2019-02-24 20:00:00;286.69;287.71;410.71;394.35;332.73;289.26;269.35;286.73;14.35;77.39;1003.0
2019-02-24 21:00:00;286.48;287.80;410.05;394.51;334.82;289.41;269.68;286.86;13.08;80.56;1003.0
2019-02-24 22:00:00;286.03;287.96;408.82;394.71;334.06;290.06;269.76;286.66;12.81;80.81;1003.0
2019-02-24 23:00:00;285.74;287.89;407.71;394.70;332.11;290.68;269.65;286.80;12.45;80.25;1003.0
2019-02-25 00:00:00;285.81;287.83;407.02;394.54;335.57;290.63;271.11;286.90;11.74;82.95;1003.0
2019-02-25 01:00:00;286.00;287.85;405.43;394.68;341.70;290.65;272.21;286.83;11.26;85.29;1003.0
2019-02-25 02:00:00;286.26;288.02;404.07;394.69;347.19;290.03;272.70;286.88;10.48;87.56;1003.0
2019-02-25 03:00:00;286.38;288.21;404.18;394.92;351.44;289.90;272.34;286.78;10.14;89.20;1003.0
2019-02-25 04:00:00;286.54;288.53;404.14;395.04;349.11;290.17;273.02;286.79;9.79;90.47;1003.0
2019-02-25 05:00:00;287.05;288.92;406.13;395.26;343.45;290.72;272.83;286.36;9.94;91.64;1003.0
2019-02-25 06:00:00;287.63;288.74;405.95;394.99;347.83;291.74;271.83;286.58;10.13;90.91;1003.0
2019-02-25 07:00:00;288.26;288.49;406.08;394.79;365.59;289.98;271.84;287.08;9.47;90.92;1003.0
2019-02-25 08:00:00;290.41;289.53;408.44;395.82;358.41;290.10;270.48;284.50;10.25;89.50;1003.0
